elevation_m_nap,depth_m,qc_mpa,fs_mpa,rf_percent,col_5,col_6,col_7,corrected_depth,qt_mpa,qt_over_pa,Isbt,Bqt,peat_boundary_qt_over_pa,organic_clay_boundary_qt_over_pa,soil_type,used_organic_boundary_qt_over_pa,distance_to_used_organic_boundary,layer_id,soil_layer_number,layer_top_depth_m,layer_bottom_depth_m,layer_top_elevation_m_nap,layer_bottom_elevation_m_nap
-2.4200000000000004,5.95,11.324,0.0662,0.59,0.26,0.19,-0.18,5.95,11.324,113.24,1.72824885461919,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.44,5.97,11.448,0.0656,0.59,0.27,0.2,-0.18,5.97,11.448,114.48,1.724375768885329,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.4600000000000004,5.99,10.928,0.0642,0.57,0.22,0.2,-0.09,5.99,10.928,109.28,1.7324570703498092,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.48,6.01,11.191,0.0632,0.57,0.22,0.2,-0.09,6.01,11.191,111.91,1.723933104685112,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.5000000000000004,6.03,11.121,0.0624,0.57,0.27,0.2,-0.18,6.03,11.121,111.21,1.7261802038518956,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.52,6.05,10.951,0.0622,0.57,0.3,0.2,-0.22,6.05,10.951,109.51,1.731702695170468,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.5400000000000005,6.07,10.868,0.0612,0.56,0.34,0.2,-0.27,6.07,10.868,108.68,1.7301199206748976,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.56,6.09,10.858,0.0597,0.55,0.22,0.2,-0.09,6.09,10.858,108.58,1.7260851730204962,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.5800000000000005,6.11,10.771,0.0594,0.55,0.27,0.19,-0.18,6.11,10.771,107.71,1.728989366786543,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.6,6.13,10.675,0.06,0.56,0.27,0.2,-0.18,6.13,10.675,106.75,1.736574563442137,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.6200000000000006,6.15,10.592,0.0607,0.57,0.22,0.2,-0.09,6.15,10.592,105.92,1.7436801298009563,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.64,6.17,10.542,0.0616,0.58,0.21,0.2,-0.08,6.17,10.542,105.42,1.74961779485485,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.6600000000000006,6.19,10.465,0.0626,0.6,0.27,0.19,-0.18,6.19,10.465,104.65,1.7605573583059952,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.68,6.21,10.382,0.0644,0.62,0.22,0.2,-0.09,6.21,10.382,103.82,1.7715066447996668,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.7000000000000006,6.23,10.315,0.0669,0.65,0.26,0.19,-0.18,6.23,10.315,103.15,1.7856068659033681,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.72,6.25,10.302,0.0686,0.67,0.27,0.2,-0.18,6.25,10.302,103.02,1.7936973310131858,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.7399999999999998,6.27,10.295,0.0699,0.68,0.27,0.2,-0.18,6.27,10.295,102.95,1.797696571799471,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.7600000000000002,6.29,10.269,0.0709,0.69,0.26,0.19,-0.18,6.29,10.269,102.69,1.802304503391508,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.78,6.31,10.245,0.0721,0.71,0.27,0.2,-0.18,6.31,10.245,102.45,1.8104418744089799,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.8000000000000003,6.33,10.175,0.0741,0.73,0.27,0.2,-0.18,6.33,10.175,101.75,1.8199983511241646,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.82,6.35,10.099,0.0758,0.75,0.27,0.2,-0.18,6.35,10.099,100.99,1.8296171896823752,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
-2.8400000000000003,6.37,10.035,0.0774,0.77,0.22,0.2,-0.09,6.37,10.035,100.35,1.838685111557726,,,,Sand,,,Sand 1,1,3.29,11.01,0.23999999999999977,-7.48
