z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-20.09,18.72,20.25,20250.0,20319.72,321.252,135.452,128.0,147.64247113368575,0.6494887464849031
-20.11,18.74,19.903,19903.0,19972.719999999998,321.662,135.66199999999998,127.0,144.8530760271852,0.6433241263206623
-20.130000000000003,18.76,19.543,19543.0,19612.72,322.07200000000006,135.872,127.0,141.97662505887894,0.6369046240750852
-20.15,18.78,19.248,19248.0,19318.14,322.48199999999997,136.082,126.0,139.58979144927324,0.6315282856447145
-20.17,18.8,18.907,18907.0,18977.14,322.89200000000005,136.29200000000003,124.0,136.86972089337596,0.625344981118139
-20.19,18.82,18.557,18557.0,18627.14,323.302,136.502,122.0,134.09208656283423,0.618967080968272
-20.21,18.84,18.27,18270.0,18340.56,323.71200000000005,136.712,120.0,131.78688044941194,0.6136236176526919
-20.23,18.86,17.898,17898.0,17968.14,324.122,136.922,117.0,128.86181913790332,0.6067755978187449
-20.25,18.88,17.621,17621.0,17691.139999999996,324.53200000000004,137.132,116.0,126.64154245544437,0.6015255426364925
-20.27,18.9,17.362,17362.0,17432.559999999998,324.942,137.34199999999998,116.0,124.56217326091073,0.5965667805054201
-20.290000000000003,18.92,17.166,17166.0,17236.14,325.3520000000001,137.55200000000002,113.0,122.94105501919273,0.5926720486050389
-20.31,18.94,17.019,17019.0,17089.139999999996,325.762,137.76199999999997,102.0,121.68361376867351,0.5896333334458761
-20.33,18.96,16.854,16854.0,16924.56,326.17199999999997,137.97199999999998,90.0,120.30258313280959,0.5862778062435433
-20.35,18.98,16.684,16684.0,16754.56,326.58200000000005,138.18200000000002,80.0,118.88652646509676,0.5828171153117215
-20.37,19.0,16.556,16556.0,16626.56,326.992,138.392,87.0,117.77825307821263,0.580094211752866
-20.39,19.02,16.278,16277.999999999998,16348.139999999998,327.40200000000004,138.602,92.0,115.5880723221887,0.5746752432515719
-20.41,19.04,15.855,15855.0,15924.300000000001,327.812,138.812,94.0,112.35691438780509,0.5665860529467072
-20.43,19.06,15.431,15431.0,15499.46,328.222,139.022,96.0,109.12832501330725,0.558386259074966
-20.45,19.08,15.391,15391.0,15460.3,328.632,139.232,96.0,108.6795276947828,0.5572368762661064
-20.47,19.1,15.315,15315.0,15384.72,329.042,139.44199999999998,97.0,107.97089829463148,0.5554172133106825
-20.49,19.12,15.169,15169.0,15239.140000000001,329.452,139.652,101.0,106.76315412597029,0.5523020760571682
-20.51,19.14,15.004,15004.0,15073.72,329.862,139.86200000000002,100.0,105.41718265147072,0.5488095757480672
-20.53,19.16,14.879,14879.0,14949.14,330.27200000000005,140.072,98.0,104.3668113541607,0.5460685758980426
-20.55,19.18,14.817,14817.0,14887.560000000001,330.682,140.282,96.0,103.76868022982278,0.5445015551068513
-20.57,19.2,14.711,14711.0,14781.980000000001,331.092,140.492,96.0,102.85915212254079,0.5421100365965271
-20.59,19.22,14.719,14719.0,14789.98,331.502,140.702,95.0,102.75957697829455,0.5418475720777531
-20.61,19.24,14.658,14658.0,14728.98,331.912,140.91199999999998,95.0,102.17063131599865,0.5402925961683002
-20.630000000000003,19.26,14.576,14576.0,14647.4,332.32200000000006,141.122,93.0,101.43760717676902,0.5383509401782155
-20.65,19.28,14.546,14546.0,14616.98,332.73199999999997,141.332,91.0,101.06874593156539,0.5373712362219979
-20.67,19.3,14.62,14620.0,14691.4,333.14200000000005,141.54200000000003,92.0,101.44167808848255,0.5383617426666693
-20.69,19.32,14.662,14662.0,14733.4,333.552,141.752,92.0,101.58479598171454,0.5387413797300799
-20.71,19.34,14.645,14645.0,14716.82,333.96200000000005,141.962,92.0,101.31484481762726,0.538025078591343
-20.73,19.36,14.568,14568.0,14639.82,334.372,142.172,93.0,100.62071293925668,0.5361788426029314
-20.75,19.38,14.442,14442.0,14513.820000000002,334.78200000000004,142.382,95.0,99.58448399376327,0.5334108145932532
-20.77,19.4,14.371,14371.0,14443.24,335.192,142.59199999999998,97.0,98.93996858168761,0.531681882820082
-20.790000000000003,19.42,14.387,14387.0,14459.24,335.6020000000001,142.80200000000002,99.0,98.90364280612314,0.5315842704491202
-20.81,19.44,14.462,14462.0,14534.24,336.012,143.01199999999997,98.0,99.27997650546808,0.5325946636325873
-20.83,19.46,14.637,14637.0,14709.66,336.42199999999997,143.22199999999998,116.0,100.3563558671154,0.5354740379650683
-20.85,19.48,14.806,14806.0,14878.66,336.83200000000005,143.43200000000002,122.0,101.38482347035527,0.538210854778139
-20.87,19.5,15.023,15023.0,15095.24,337.242,143.642,123.0,102.74152406677713,0.5417999738089355
-20.89,19.52,15.343,15343.0,15414.820000000002,337.65200000000004,143.852,123.0,104.81027722937465,0.5472274983414763
-20.91,19.54,15.343,15343.0,15413.56,338.062,144.062,122.0,104.64590245866361,0.5467982194000259
-20.93,19.56,15.389,15389.0,15459.98,338.472,144.272,120.0,104.81249306864811,0.5472332828971783
-20.95,19.58,15.6,15600.0,15671.82,338.882,144.482,120.0,106.123517116319,0.5506451206573691
-20.97,19.6,15.935,15935.0,16007.660000000002,339.292,144.69199999999998,102.0,108.28772841622208,0.5562315253207377
-20.99,19.62,16.513,16513.0,16586.08,339.702,144.902,96.0,112.11976370236438,0.5659877931605551
-21.01,19.64,17.025,17025.0,17098.079999999998,340.112,145.11200000000002,96.0,115.48299244721315,0.5744139683120855
-21.03,19.66,17.274,17274.0,17347.08,340.52200000000005,145.322,98.0,117.02672685484649,0.5782405007677452
-21.05,19.68,17.347,17347.0,17421.34,340.932,145.532,99.0,117.3653079735041,0.5790763778232271
-21.07,19.7,17.561,17561.0,17634.08,341.342,145.742,99.0,118.65308558960356,0.5822446358450165
-21.09,19.72,18.172,18172.0,18245.5,341.752,145.952,102.0,122.6687404078053,0.5920153000141738
-21.11,19.74,18.902,18902.0,18975.92,342.162,146.16199999999998,105.0,127.48702125039341,0.6035301418686404
-21.130000000000003,19.76,19.504,19504.0,19578.34,342.57200000000006,146.372,107.0,131.4169923209357,0.6127618794580478
