selected_layer_name,selected_layer_top_z_m_nap,selected_layer_bottom_z_m_nap,selected_layer_gamma_kN_m3,z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
Sand 1,-2.04,-4.46,19.7,-4.0,2.52,9.535,9535.0,9534.16,47.48,23.08,103.0,411.0346620450607,0.987571439744509
Sand 1,-2.04,-4.46,19.7,-4.02,2.54,8.08,8080.0,8079.16,47.87399999999999,23.273999999999994,96.0,345.07544899888296,0.9169568773608282
Sand 1,-2.04,-4.46,19.7,-4.04,2.56,6.572,6572.0,6571.16,48.268,23.467999999999996,95.0,277.9483552070905,0.8293472567318935
Sand 1,-2.04,-4.46,19.7,-4.0600000000000005,2.58,5.212,5212.0,5211.16,48.66200000000001,23.662000000000006,94.0,218.17673907531056,0.7312632450992191
Sand 1,-2.04,-4.46,19.7,-4.08,2.6,4.125,4125.0,4124.58,49.056000000000004,23.856,98.0,170.83853118712273,0.6323468159784907
Sand 1,-2.04,-4.46,19.7,-4.1,2.62,3.251,3251.0,3251.0,49.449999999999996,24.049999999999997,95.0,133.12058212058216,0.5317003596896778
Sand 1,-2.04,-4.46,19.7,-4.12,2.64,2.717,2717.0,2717.84,49.844,24.244,94.0,110.04768190067647,0.4554127650743022
Sand 1,-2.04,-4.46,19.7,-4.140000000000001,2.66,2.467,2467.0,2469.1,50.238000000000014,24.438000000000002,107.0,98.97954006056142,0.4135417831282849
Sand 1,-2.04,-4.46,19.7,-4.16,2.68,2.854,2854.0,2856.1,50.632000000000005,24.631999999999998,105.0,113.89525820071452,0.47220143852542074
Sand 1,-2.04,-4.46,19.7,-4.18,2.7,2.765,2765.0,2767.1,51.025999999999996,24.825999999999993,92.0,109.40441472649644,0.45726547240936144
Sand 1,-2.04,-4.46,19.7,-4.2,2.72,2.544,2544.0,2546.1,51.42,25.019999999999996,82.0,99.7074340527578,0.4209234818839767
Sand 1,-2.04,-4.46,19.7,-4.220000000000001,2.74,1.973,1973.0,1978.04,51.814000000000014,25.214000000000006,73.0,76.39509796144996,0.3136908850536573
Sand 1,-2.04,-4.46,19.7,-4.24,2.76,1.336,1336.0,1341.46,52.208000000000006,25.408,63.0,50.74197103274559,0.15016776015049121
Sand 1,-2.04,-4.46,19.7,-4.26,2.78,1.294,1294.0,1300.3,52.602,25.601999999999997,54.0,48.734395750332006,0.13517797067381032
Sand 1,-2.04,-4.46,19.7,-4.279999999999999,2.8,1.233,1233.0,1240.5600000000002,52.99599999999999,25.795999999999992,46.0,46.03674988370292,0.11341867435044158
Sand 1,-2.04,-4.46,19.7,-4.3,2.82,1.18,1180.0,1187.98,53.38999999999999,25.989999999999995,35.0,43.654867256637175,0.09347817234524185
Sand 1,-2.04,-4.46,19.7,-4.32,2.84,1.156,1156.0,1164.4,53.784000000000006,26.183999999999997,36.0,42.4158264589062,0.08325458440856053
Sand 1,-2.04,-4.46,19.7,-4.34,2.86,1.161,1161.0,1169.4,54.178,26.377999999999993,38.0,42.27848965046632,0.08336078638072707
Sand 1,-2.04,-4.46,19.7,-4.359999999999999,2.88,1.171,1171.0,1179.4,54.57199999999999,26.571999999999996,42.0,42.331326208038554,0.08524715429782656
Sand 1,-2.04,-4.46,19.7,-4.38,2.9,1.167,1167.0,1175.4,54.966,26.766,45.0,41.86034521407757,0.08216721700516484
Sand 1,-2.04,-4.46,19.7,-4.4,2.92,1.166,1166.0,1174.4,55.36000000000001,26.96,50.0,41.50741839762612,0.08016336275430332
Sand 1,-2.04,-4.46,19.7,-4.42,2.94,1.169,1169.0,1177.4,55.754,27.153999999999996,55.0,41.30684245415041,0.07959325945054402
Sand 1,-2.04,-4.46,19.7,-4.44,2.96,1.17,1170.0,1178.3999999999999,56.14800000000001,27.348,60.0,41.03598069328653,0.07832338274487241
Sand 1,-2.04,-4.46,19.7,-4.46,2.98,1.18,1180.0,1188.3999999999999,56.542,27.541999999999994,62.0,41.095708372667204,0.08024159765298272
