z_m_nap,depth_m,qc_mpa,qc_kPa,qt_kPa,sigma_v0_kPa,sigma_v0_eff_kPa,fs_kPa,Qt,Dr
-24.47,23.02,11.834,11834.0,11921.78,414.50618276762395,185.50618276762404,80.0,62.03175358121118,0.4209911895284785
-24.49,23.04,11.424,11424.0,11512.2,414.9138276762401,185.71382767624024,82.0,59.75476522765956,0.4131923288862656
-24.51,23.06,11.135,11135.0,11223.2,415.32147258485634,185.92147258485645,84.0,58.131416329452314,0.4075411156451485
-24.53,23.08,10.949,10949.0,11037.2,415.7291174934726,186.12911749347262,83.0,57.06506873046886,0.40378590059043085
-24.55,23.1,10.868,10868.0,10956.2,416.1367624020887,186.33676240208882,83.0,56.56459359776747,0.40201134880131173
-24.57,23.12,10.911,10911.0,10999.2,416.5444073107049,186.544407310705,82.0,56.7299537158625,0.4025985370630666
-24.59,23.14,11.043,11043.0,11131.619999999999,416.9520522193211,186.75205221932117,82.0,57.37376280715457,0.40487656957629714
-24.61,23.16,11.136,11136.0,11224.619999999999,417.35969712793724,186.95969712793737,83.0,57.805294236632214,0.4063963379919102
-24.63,23.18,11.159,11159.0,11247.619999999999,417.76734203655343,187.16734203655355,84.0,57.86187130791433,0.40659517005041595
-24.65,23.2,11.144,11144.0,11232.62,418.1749869451696,187.37498694516972,84.0,57.715521102181,0.40608064330053245
-24.67,23.22,11.151,11151.0,11239.62,418.58263185378587,187.58263185378595,83.0,57.68677654859237,0.40597950880236156
-24.69,23.24,11.177,11177.0,11266.04,418.99027676240206,187.79027676240213,82.0,57.76150879718661,0.40624239350131347
-24.71,23.26,11.224,11224.0,11313.04,419.39792167101825,187.99792167101833,83.0,57.9455452565694,0.4068890521174727
-24.73,23.28,11.31,11310.0,11399.039999999999,419.8055665796344,188.2055665796345,85.0,58.336395851366994,0.4082590069039401
-24.75,23.3,11.426,11426.0,11515.04,420.2132114882506,188.41321148825068,86.0,58.885609458462085,0.41017630167130426
-24.77,23.32,11.539,11539.0,11628.04,420.62085639686677,188.62085639686688,89.0,59.417708930460016,0.41202534225270315
-24.79,23.34,11.713,11713.0,11802.039999999999,421.02850130548296,188.82850130548306,85.0,60.27168261152768,0.4149756709272336
-24.81,23.36,12.023,12023.0,12112.04,421.43614621409915,189.03614621409923,85.0,61.843219341476185,0.42035093957813113
-24.83,23.38,12.044,12044.0,12135.14,421.8437911227153,189.24379112271544,84.0,61.895273495560964,0.4205278094950982
-24.85,23.4,11.678,11678.0,11766.199999999999,422.25143603133154,189.45143603133164,83.0,59.87787055935853,0.41361773435092913
-24.87,23.42,11.591,11591.0,11680.04,422.6590809399478,189.65908093994784,84.0,59.355876150346326,0.41181090025935213
-24.89,23.44,11.474,11474.0,11563.88,423.0667258485639,189.86672584856402,84.0,58.67701791538369,0.40944916975783696
-24.91,23.46,11.43,11430.0,11520.300000000001,423.4743707571801,190.0743707571802,78.0,58.381493438791935,0.40841678095785555
-24.93,23.48,11.238,11238.0,11328.300000000001,423.8820156657963,190.2820156657964,78.0,57.30661379731378,0.40463957082574037
-24.95,23.5,10.996,10996.0,11086.3,424.28966057441244,190.48966057441257,80.0,55.97159608177577,0.39989854456840773
-24.97,23.52,10.813,10813.0,10903.3,424.69730548302863,190.69730548302874,81.0,54.948876534857604,0.3962282045735679
-24.99,23.54,10.594,10594.0,10684.300000000001,425.1049503916448,190.90495039164495,82.0,53.73980626778631,0.3918447442830471
-25.01,23.56,10.223,10223.0,10312.880000000001,425.51259530026107,191.11259530026115,83.0,51.73582300614715,0.3844692928706016
-25.03,23.58,9.815,9815.0,9904.880000000001,425.92024020887726,191.32024020887735,83.0,49.544991943572185,0.37624077375900883
-25.05,23.6,9.426,9426.0,9515.46,426.32788511749345,191.52788511749353,81.0,47.45592063164454,0.36822322667349694
-25.07,23.62,9.098,9098.0,9187.460000000001,426.7355300261096,191.7355300261097,78.0,45.691711227339525,0.36131391664842805
-25.09,23.64,8.711,8711.0,8800.460000000001,427.1431749347258,191.9431749347259,75.0,43.62393624005015,0.3530436486168739
-25.11,23.66,8.36,8360.0,8449.460000000001,427.55081984334197,192.15081984334208,72.0,41.747983103568394,0.345369297599658
-25.13,23.68,8.127,8127.000000000001,8216.880000000001,427.95846475195816,192.35846475195825,70.0,40.49170149747076,0.3401331734880609
-25.15,23.7,7.861,7861.0,7950.88,428.36610966057435,192.56610966057445,69.0,39.064578412052576,0.3340854399360934
-25.17,23.72,7.469,7469.0,7559.3,428.7737545691906,192.77375456919066,68.0,36.989092531636665,0.3250894054240493
-25.19,23.74,6.995,6995.0,7085.3,429.18139947780674,192.98139947780686,67.0,34.490985237609166,0.3139198498143352
-25.21,23.76,6.487,6487.0,6576.88,429.5890443864229,193.189044386423,66.0,31.82008055962825,0.30152034074777134
-25.23,23.78,6.016,6016.0,6105.88,429.9966892950391,193.3966892950392,65.0,29.348399558412464,0.2895730826007361
-25.25,23.8,5.646,5646.0,5735.88,430.4043342036553,193.6043342036554,63.0,27.403702957473214,0.27981474972597353
-25.27,23.82,5.363,5363.0,5452.46,430.8119791122715,193.81197911227156,60.0,25.909894960511103,0.27208136892434587
-25.29,23.84,5.153,5153.0,5242.88,431.21962402088764,194.01962402088776,56.0,24.79986444804727,0.26618932278708957
-25.31,23.86,4.942,4942.0,5031.88,431.6272689295038,194.22726892950396,50.0,23.68489634038044,0.26013675711265216
-25.33,23.88,4.709,4709.0,4799.299999999999,432.03491383812,194.4349138381201,44.0,22.461321374606186,0.25332825331463965
-25.35,23.9,4.449,4449.0,4539.3,432.44255874673627,194.64255874673637,44.0,21.09948342077128,0.24552848784827555
-25.37,23.92,4.199,4199.0,4289.3,432.85020365535246,194.85020365535252,45.0,19.79186946689502,0.23779865112494417
-25.39,23.94,3.873,3873.0,3963.72,433.25784856396865,195.05784856396872,46.0,18.099564705688966,0.22740501757053247
-25.41,23.96,3.53,3530.0,3621.56,433.6654934725848,195.2654934725849,47.0,16.325949095429873,0.21597585245597564
-25.43,23.98,3.329,3329.0,3420.98,434.073138381201,195.47313838120107,51.0,15.280395487352825,0.2089456216842269
